column_name,mean,std,min,max,missing_count
Air Temperature,12.62353272390037,10.435676741665349,-29.78,37.6,75
Wet Bulb Temperature,10.27432770351663,9.404098014282736,-28.9,28.4,75952
Humidity,68.0244444104868,15.633788622143054,0.0,100.0,0
Rain Intensity,0.1589203379551553,1.793985848036496,0.0,183.6,75952
Interval Rain,0.14236115992522524,1.096895551258134,-0.9,63.42,0
Total Rain,141.4811009296259,190.45588254924436,0.0,1056.1,75952
Precipitation Type,4.269923818860025,15.593833950211623,0.0,70.0,75952
Wind Direction,140.80302358867783,122.00861784998428,0.0,359.0,0
Wind Speed,2.9187756910805156,5.341745612821545,0.0,999.9,0
Maximum Wind Speed,3.5569087676940554,5.954979165406707,0.0,999.9,0
Barometric Pressure,994.3133736370726,10.02897059866515,0.0,3098.5,146
Solar Radiation,112.34546130611288,842.7866996184716,-100000.0,1277.0,0
Heading,281.9699595417501,142.76961049047546,0.0,359.0,75952
Battery Life,13.16326716686277,1.5446159802258557,0.0,15.3,0
